SIClass,Area,BGC,Var
6,408,SBSmk1,Best1-3
6,52,SBSmk1,Best4-10
7,125,SBSmk1,Best1-3
7,44,SBSmk1,Best4-10
3,1451,SBSmk2,Best1-3
3,4823,SBSmk2,Best4-10
3,1,SBSmk2,Ancient
4,3626,SBSmk2,Best1-3
4,7119,SBSmk2,Best4-10
5,1127,SBSmk2,Best1-3
5,1163,SBSmk2,Best4-10
6,17,SBSmk2,Best1-3
6,18,SBSmk2,Best4-10
3,147,SBSmm,Best1-3
3,679,SBSmm,Best4-10
3,27,SBSmm,Ancient
4,650,SBSmm,Best1-3
4,1583,SBSmm,Best4-10
4,3,SBSmm,Ancient
5,119,SBSmm,Best1-3
5,107,SBSmm,Best4-10
5,2,SBSmm,Ancient
3,223,SBSmw,Best1-3
3,2421,SBSmw,Best4-10
4,1730,SBSmw,Best1-3
4,5922,SBSmw,Best4-10
5,1859,SBSmw,Best1-3
5,1753,SBSmw,Best4-10
6,242,SBSmw,Best1-3
6,87,SBSmw,Best4-10
7,12,SBSmw,Best1-3
7,1,SBSmw,Best4-10
3,942,SBSun,Best1-3
3,4631,SBSun,Best4-10
3,97,SBSun,Ancient
4,768,SBSun,Best1-3
4,1040,SBSun,Best4-10
4,21,SBSun,Ancient
5,856,SBSun,Best1-3
5,271,SBSun,Best4-10
5,1,SBSun,Ancient
6,49,SBSun,Best1-3
7,219,SBSun,Best1-3
7,2,SBSun,Best4-10
3,5090,SBSvk,Best1-3
3,4318,SBSvk,Best4-10
3,68,SBSvk,Ancient
4,545,SBSvk,Best1-3
4,553,SBSvk,Best4-10
4,33,SBSvk,Ancient
5,22,SBSvk,Best1-3
5,49,SBSvk,Best4-10
6,4,SBSvk,Best1-3
6,6,SBSvk,Best4-10
6,1,SBSvk,Ancient
3,2117,SBSwk1,Best1-3
3,2,SBSwk1,Best4-10
4,1094,SBSwk1,Best1-3
4,8,SBSwk1,Best4-10
5,182,SBSwk1,Best1-3
6,14,SBSwk1,Best1-3
3,2377,SBSwk2,Best1-3
3,27,SBSwk2,Best4-10
3,101,SBSwk2,Ancient
4,229,SBSwk2,Best1-3
4,19,SBSwk2,Best4-10
4,41,SBSwk2,Ancient
5,42,SBSwk2,Best1-3
5,1,SBSwk2,Best4-10
5,4,SBSwk2,Ancient
6,2,SBSwk2,Best1-3
7,2,SBSwk2,Best1-3
3,3358,SBSwk3,Best1-3
3,10821,SBSwk3,Best4-10
3,61,SBSwk3,Ancient
4,5996,SBSwk3,Best1-3
4,12356,SBSwk3,Best4-10
4,7,SBSwk3,Ancient
5,1452,SBSwk3,Best1-3
5,1365,SBSwk3,Best4-10
5,2,SBSwk3,Ancient
6,208,SBSwk3,Best1-3
6,48,SBSwk3,Best4-10
7,5,SBSwk3,Best1-3
3,679,SBSwk3a,Best1-3
3,1227,SBSwk3a,Best4-10
4,411,SBSwk3a,Best1-3
4,169,SBSwk3a,Best4-10
5,5,SBSwk3a,Best1-3
5,35,SBSwk3a,Best4-10
3,1,SWBmk,Best1-3
3,12,SWBmk,Best4-10
4,3,SWBmk,Best4-10
3,1,BGxh3,RareVariant
3,3,BWBSdk,RareVariant
3,2257,BWBSdk,RareLU
4,219,BWBSdk,RareLU
3,912,BWBSmk,RareLU
4,166,BWBSmk,RareLU
3,1,BWBSmw,RareVariant
3,3058,BWBSmw,RareLU
4,5156,BWBSmw,RareLU
5,592,BWBSmw,RareLU
6,6,BWBSmw,RareLU
3,52,BWBSwk1,RareLU
3,1,BWBSwk2,RareVariant
3,4,BWBSwk2,RareLU
3,15,CDFmm,RareVariant
4,196,CDFmm,RareVariant
5,101,CDFmm,RareVariant
6,2,CDFmm,RareVariant
7,2,CDFmm,RareVariant
3,1718,CWHdm,RareVariant
4,2132,CWHdm,RareVariant
5,2367,CWHdm,RareVariant
6,260,CWHdm,RareVariant
7,69,CWHdm,RareVariant
3,57,CWHds1,RareVariant
3,409,CWHds1,RareLU
4,1,CWHds1,RareVariant
4,1139,CWHds1,RareLU
5,422,CWHds1,RareLU
6,26,CWHds1,RareLU
7,4,CWHds1,RareLU
3,10,CWHmm1,RareVariant
3,168,CWHmm1,RareLU
4,4,CWHmm1,RareVariant
4,152,CWHmm1,RareLU
5,1,CWHmm1,RareVariant
5,117,CWHmm1,RareLU
6,57,CWHmm1,RareLU
7,9,CWHmm1,RareLU
3,1,CWHmm2,RareVariant
3,26,CWHmm2,RareLU
4,3,CWHmm2,RareVariant
4,40,CWHmm2,RareLU
5,4,CWHmm2,RareVariant
5,51,CWHmm2,RareLU
6,6,CWHmm2,RareLU
3,76,CWHms1,RareLU
4,18,CWHms1,RareLU
5,9,CWHms1,RareLU
3,41,CWHvh1,RareLU
4,23,CWHvh1,RareLU
5,10,CWHvh1,RareLU
3,9,CWHvh3,RareLU
4,2,CWHvh3,RareLU
5,5,CWHvh3,RareLU
3,5,CWHvm1,RareVariant
3,1018,CWHvm1,RareLU
4,5,CWHvm1,RareVariant
4,1131,CWHvm1,RareLU
5,388,CWHvm1,RareLU
6,1,CWHvm1,RareVariant
6,114,CWHvm1,RareLU
7,20,CWHvm1,RareLU
3,8,CWHvm2,RareVariant
3,133,CWHvm2,RareLU
4,4,CWHvm2,RareVariant
4,329,CWHvm2,RareLU
5,3,CWHvm2,RareVariant
5,39,CWHvm2,RareLU
6,1,CWHvm2,RareVariant
6,34,CWHvm2,RareLU
7,5,CWHvm2,RareLU
3,178,CWHwm,RareLU
3,203,CWHws1,RareLU
4,115,CWHws1,RareLU
5,9,CWHws1,RareLU
6,19,CWHws1,RareLU
7,31,CWHws1,RareLU
3,3,CWHws2,RareVariant
3,3,CWHws2,RareLU
3,72,CWHxm1,RareVariant
4,288,CWHxm1,RareVariant
5,154,CWHxm1,RareVariant
6,36,CWHxm1,RareVariant
7,5,CWHxm1,RareVariant
3,1397,CWHxm2,RareVariant
4,1440,CWHxm2,RareVariant
5,832,CWHxm2,RareVariant
6,337,CWHxm2,RareVariant
7,108,CWHxm2,RareVariant
3,1088,ESSFdc1,RareVariant
4,100,ESSFdc1,RareVariant
5,10,ESSFdc1,RareVariant
3,510,ESSFdc2,RareLU
4,355,ESSFdc2,RareLU
5,6,ESSFdc2,RareLU
3,2,ESSFdc3,RareVariant
3,30,ESSFdc3,RareLU
4,5,ESSFdc3,RareLU
3,2,ESSFdcp,RareVariant
3,73,ESSFdcw,RareVariant
4,2,ESSFdcw,RareVariant
3,42,ESSFdh1,RareVariant
3,19,ESSFdh1,RareLU
4,15,ESSFdh1,RareVariant
4,18,ESSFdh1,RareLU
5,1,ESSFdh1,RareLU
3,72,ESSFdh2,RareLU
4,15,ESSFdh2,RareLU
3,4264,ESSFdk1,RareLU
4,942,ESSFdk1,RareLU
5,64,ESSFdk1,RareLU
3,1501,ESSFdk2,RareLU
4,265,ESSFdk2,RareLU
5,4,ESSFdk2,RareLU
3,130,ESSFdkw,RareLU
4,1,ESSFdkw,RareLU
3,11271,ESSFmc,RareVariant
3,7,ESSFmc,RareLU
4,861,ESSFmc,RareVariant
5,132,ESSFmc,RareVariant
6,1,ESSFmc,RareVariant
3,1078,ESSFmh,RareVariant
4,175,ESSFmh,RareVariant
5,77,ESSFmh,RareVariant
3,101,ESSFmk,RareLU
3,974,ESSFmm1,RareLU
4,298,ESSFmm1,RareLU
3,4436,ESSFmm3,RareVariant
4,261,ESSFmm3,RareVariant
4,1,ESSFmm3,RareLU
5,22,ESSFmm3,RareVariant
6,1,ESSFmm3,RareVariant
3,956,ESSFmmw,RareVariant
4,7,ESSFmmw,RareVariant
5,1,ESSFmmw,RareVariant
3,10,ESSFmv1,RareVariant
3,12,ESSFmv1,RareLU
4,1,ESSFmv1,RareLU
3,421,ESSFmv2,RareVariant
4,19,ESSFmv2,RareVariant
3,3316,ESSFmv3,RareVariant
3,3,ESSFmv3,RareLU
4,146,ESSFmv3,RareVariant
6,2,ESSFmv3,RareVariant
3,107,ESSFmv4,RareVariant
4,1,ESSFmv4,RareVariant
3,7,ESSFmw1,RareVariant
3,1571,ESSFmw1,RareLU
4,231,ESSFmw1,RareLU
5,16,ESSFmw1,RareLU
3,181,ESSFmw2,RareLU
4,8,ESSFmw2,RareLU
5,1,ESSFmw2,RareLU
3,43,ESSFmww,RareLU
4,10,ESSFmww,RareLU
3,445,ESSFun,RareLU
3,503,ESSFvc,RareLU
4,38,ESSFvc,RareLU
5,1,ESSFvc,RareLU
3,295,ESSFvcw,RareVariant
4,26,ESSFvcw,RareVariant
5,3,ESSFvcw,RareVariant
3,25,ESSFwc2,RareVariant
3,2430,ESSFwc2,RareLU
4,3,ESSFwc2,RareVariant
4,206,ESSFwc2,RareLU
5,36,ESSFwc2,RareLU
3,1226,ESSFwc3,RareVariant
4,28,ESSFwc3,RareVariant
5,5,ESSFwc3,RareVariant
3,4805,ESSFwc4,RareVariant
3,12,ESSFwc4,RareLU
4,265,ESSFwc4,RareVariant
5,7,ESSFwc4,RareVariant
6,1,ESSFwc4,RareVariant
4,1,ESSFwcp,RareVariant
3,1463,ESSFwcw,RareVariant
3,1,ESSFwcw,RareLU
4,29,ESSFwcw,RareVariant
3,34,ESSFwh1,RareVariant
3,3645,ESSFwh1,RareLU
4,1,ESSFwh1,RareVariant
4,403,ESSFwh1,RareLU
5,16,ESSFwh1,RareLU
6,3,ESSFwh1,RareLU
3,924,ESSFwh2,RareVariant
4,48,ESSFwh2,RareVariant
5,3,ESSFwh2,RareVariant
3,575,ESSFwh3,RareVariant
4,155,ESSFwh3,RareVariant
5,3,ESSFwh3,RareVariant
3,6125,ESSFwk1,RareVariant
3,5,ESSFwk1,RareLU
4,524,ESSFwk1,RareVariant
5,29,ESSFwk1,RareVariant
3,3824,ESSFwk2,RareVariant
4,110,ESSFwk2,RareVariant
5,4,ESSFwk2,RareVariant
3,495,ESSFwm1,RareVariant
4,13,ESSFwm1,RareVariant
5,28,ESSFwm1,RareVariant
6,10,ESSFwm1,RareVariant
3,423,ESSFwm2,RareVariant
4,7,ESSFwm2,RareVariant
5,2,ESSFwm2,RareVariant
3,54,ESSFwm3,RareVariant
4,4,ESSFwm3,RareVariant
3,195,ESSFwm4,RareVariant
4,11,ESSFwm4,RareVariant
5,1,ESSFwm4,RareVariant
3,43,ESSFwmw,RareVariant
3,3,ESSFwv,RareVariant
3,1,ESSFwv,RareLU
3,20,ESSFxc1,RareVariant
3,87,ESSFxc1,RareLU
4,4,ESSFxc1,RareLU
3,217,ESSFxc2,RareLU
4,1,ESSFxc2,RareLU
3,1,ESSFxc3,RareVariant
3,2,ESSFxc3,RareLU
4,2,ESSFxc3,RareLU
3,8,ESSFxcw,RareVariant
3,619,ESSFxv1,RareVariant
3,179,ESSFxv2,RareVariant
3,3,ESSFxv2,RareLU
4,2,ESSFxv2,RareVariant
3,2640,ICHdm,RareLU
4,917,ICHdm,RareLU
5,72,ICHdm,RareLU
6,7,ICHdm,RareLU
3,1199,ICHdw1,RareLU
4,2919,ICHdw1,RareLU
5,579,ICHdw1,RareLU
6,24,ICHdw1,RareLU
7,1,ICHdw1,RareLU
3,1,ICHdw3,RareVariant
3,396,ICHdw3,RareLU
4,1529,ICHdw3,RareLU
5,110,ICHdw3,RareLU
6,3,ICHdw3,RareLU
3,21,ICHdw4,RareLU
4,106,ICHdw4,RareLU
5,23,ICHdw4,RareLU
6,11,ICHdw4,RareLU
3,10,ICHmc1,RareVariant
3,229,ICHmc1,RareLU
4,3,ICHmc1,RareVariant
4,92,ICHmc1,RareLU
3,9334,ICHmc2,RareVariant
4,3398,ICHmc2,RareVariant
5,546,ICHmc2,RareVariant
6,69,ICHmc2,RareVariant
7,28,ICHmc2,RareVariant
3,56,ICHmk1,RareVariant
3,147,ICHmk1,RareLU
4,17,ICHmk1,RareVariant
4,289,ICHmk1,RareLU
5,7,ICHmk1,RareLU
3,42,ICHmk2,RareVariant
3,326,ICHmk2,RareLU
4,46,ICHmk2,RareVariant
4,1044,ICHmk2,RareLU
5,12,ICHmk2,RareVariant
5,350,ICHmk2,RareLU
3,638,ICHmk3,RareVariant
4,740,ICHmk3,RareVariant
4,2,ICHmk3,RareLU
5,56,ICHmk3,RareVariant
3,1126,ICHmk4,RareVariant
4,634,ICHmk4,RareVariant
5,23,ICHmk4,RareVariant
3,3,ICHmk5,RareVariant
3,144,ICHmk5,RareLU
4,599,ICHmk5,RareLU
5,77,ICHmk5,RareLU
6,4,ICHmk5,RareLU
3,2098,ICHmm,RareLU
4,776,ICHmm,RareLU
5,85,ICHmm,RareLU
6,3,ICHmm,RareLU
7,2,ICHmm,RareLU
3,5162,ICHmw1,RareVariant
3,1,ICHmw1,RareLU
4,1550,ICHmw1,RareVariant
5,105,ICHmw1,RareVariant
5,1,ICHmw1,RareLU
6,6,ICHmw1,RareVariant
3,8433,ICHmw2,RareVariant
3,6,ICHmw2,RareLU
4,3470,ICHmw2,RareVariant
4,4,ICHmw2,RareLU
5,438,ICHmw2,RareVariant
6,40,ICHmw2,RareVariant
3,3696,ICHmw3,RareVariant
3,6,ICHmw3,RareLU
4,2090,ICHmw3,RareVariant
4,13,ICHmw3,RareLU
5,462,ICHmw3,RareVariant
6,20,ICHmw3,RareVariant
3,1155,ICHmw4,RareVariant
3,1,ICHmw4,RareLU
4,659,ICHmw4,RareVariant
4,1,ICHmw4,RareLU
5,24,ICHmw4,RareVariant
3,1405,ICHmw5,RareVariant
4,218,ICHmw5,RareVariant
4,2,ICHmw5,RareLU
5,47,ICHmw5,RareVariant
6,2,ICHmw5,RareVariant
4,23,ICHvc,RareLU
3,3,ICHvk1,RareLU
4,3,ICHvk1,RareLU
3,7,ICHvk2,RareVariant
3,2811,ICHvk2,RareLU
4,689,ICHvk2,RareLU
5,1,ICHvk2,RareVariant
5,11,ICHvk2,RareLU
6,3,ICHvk2,RareLU
3,306,ICHwc,RareLU
4,6,ICHwc,RareLU
6,1,ICHwc,RareLU
3,17,ICHwk1,RareVariant
3,2188,ICHwk1,RareLU
4,11,ICHwk1,RareVariant
4,1092,ICHwk1,RareLU
5,3,ICHwk1,RareVariant
5,282,ICHwk1,RareLU
6,31,ICHwk1,RareLU
3,11,ICHwk2,RareVariant
3,1033,ICHwk2,RareLU
4,1,ICHwk2,RareVariant
4,569,ICHwk2,RareLU
5,48,ICHwk2,RareLU
6,21,ICHwk2,RareLU
3,2,ICHwk3,RareVariant
3,439,ICHwk3,RareLU
4,1,ICHwk3,RareVariant
4,34,ICHwk3,RareLU
3,3,ICHwk4,RareVariant
3,498,ICHwk4,RareLU
4,2,ICHwk4,RareVariant
4,360,ICHwk4,RareLU
5,5,ICHwk4,RareLU
7,1,ICHwk4,RareLU
3,196,ICHxm1,RareVariant
4,16,ICHxm1,RareVariant
4,1,ICHxm1,RareLU
3,22,ICHxw,RareVariant
4,2,ICHxw,RareVariant
4,5,ICHxwa,RareVariant
3,1567,IDFdc,RareVariant
4,216,IDFdc,RareVariant
5,10,IDFdc,RareVariant
3,5,IDFdh,RareVariant
3,5463,IDFdk1,RareVariant
3,134,IDFdk1,RareLU
4,1027,IDFdk1,RareVariant
4,313,IDFdk1,RareLU
5,1,IDFdk1,RareVariant
5,22,IDFdk1,RareLU
3,2607,IDFdk2,RareVariant
3,46,IDFdk2,RareLU
4,1123,IDFdk2,RareVariant
4,88,IDFdk2,RareLU
5,12,IDFdk2,RareVariant
5,4,IDFdk2,RareLU
3,6743,IDFdk3,RareVariant
3,24,IDFdk3,RareLU
4,1307,IDFdk3,RareVariant
4,3,IDFdk3,RareLU
5,10,IDFdk3,RareVariant
6,1,IDFdk3,RareVariant
3,2216,IDFdk4,RareVariant
4,15,IDFdk4,RareVariant
3,66,IDFdk5,RareVariant
4,65,IDFdk5,RareVariant
5,5,IDFdk5,RareVariant
3,961,IDFdm1,RareVariant
4,590,IDFdm1,RareVariant
5,27,IDFdm1,RareVariant
3,136,IDFdm2,RareVariant
4,5,IDFdm2,RareVariant
3,1,IDFdw,RareVariant
3,178,IDFdw,RareLU
4,52,IDFdw,RareLU
3,210,IDFmw2,RareVariant
3,1,IDFmw2,RareLU
4,139,IDFmw2,RareVariant
4,29,IDFmw2,RareLU
5,3,IDFmw2,RareVariant
5,1,IDFmw2,RareLU
3,148,IDFww,RareLU
4,265,IDFww,RareLU
5,46,IDFww,RareLU
6,5,IDFww,RareLU
7,1,IDFww,RareLU
3,4,IDFww1,RareVariant
3,773,IDFxc,RareVariant
4,27,IDFxc,RareVariant
3,1561,IDFxh1,RareVariant
4,141,IDFxh1,RareVariant
5,6,IDFxh1,RareVariant
3,2027,IDFxh2,RareVariant
4,212,IDFxh2,RareVariant
3,2736,IDFxm,RareVariant
4,67,IDFxm,RareVariant
4,1,IDFxm,RareLU
3,582,IDFxw,RareVariant
4,59,IDFxw,RareVariant
3,7,MHmm1,RareLU
4,5,MHmm1,RareLU
3,37,MHmm2,RareLU
4,2,MHmm2,RareLU
3,6,MSdc1,RareVariant
4,1,MSdc1,RareVariant
3,1,MSdc2,RareVariant
3,35,MSdc2,RareLU
4,1,MSdc2,RareLU
3,2,MSdk,RareVariant
3,1428,MSdk,RareLU
4,1,MSdk,RareVariant
4,642,MSdk,RareLU
5,32,MSdk,RareLU
3,21,MSdm1,RareVariant
3,892,MSdm1,RareLU
4,49,MSdm1,RareVariant
4,608,MSdm1,RareLU
5,7,MSdm1,RareVariant
5,92,MSdm1,RareLU
3,212,MSdm2,RareVariant
3,1369,MSdm2,RareLU
4,174,MSdm2,RareVariant
4,824,MSdm2,RareLU
5,2,MSdm2,RareVariant
5,11,MSdm2,RareLU
3,8,MSdm3,RareVariant
3,430,MSdm3,RareLU
4,1,MSdm3,RareVariant
4,595,MSdm3,RareLU
5,41,MSdm3,RareLU
3,6,MSdv,RareVariant
3,37,MSdv,RareLU
3,2101,MSdw,RareLU
4,1098,MSdw,RareLU
5,51,MSdw,RareLU
6,2,MSdw,RareLU
3,1,MSmw2,RareVariant
3,473,MSxk1,RareVariant
3,125,MSxk1,RareLU
4,52,MSxk1,RareVariant
4,61,MSxk1,RareLU
3,175,MSxk2,RareVariant
3,1395,MSxk2,RareLU
4,47,MSxk2,RareVariant
4,556,MSxk2,RareLU
5,2,MSxk2,RareVariant
5,8,MSxk2,RareLU
6,1,MSxk2,RareLU
3,142,MSxk3,RareVariant
3,205,MSxk3,RareLU
4,20,MSxk3,RareVariant
4,64,MSxk3,RareLU
3,25,MSxv,RareVariant
3,4147,MSxv,RareLU
4,1,MSxv,RareVariant
4,73,MSxv,RareLU
3,48,PPxh1,RareVariant
4,6,PPxh1,RareVariant
3,67,PPxh2,RareVariant
4,2,PPxh2,RareVariant
3,8070,SBPSdc,RareVariant
3,6,SBPSdc,RareLU
4,857,SBPSdc,RareVariant
4,1,SBPSdc,RareLU
5,36,SBPSdc,RareVariant
3,1,SBPSmc,RareVariant
3,842,SBPSmc,RareLU
4,42,SBPSmc,RareLU
3,7363,SBPSmk,RareVariant
3,2,SBPSmk,RareLU
4,5222,SBPSmk,RareVariant
4,3,SBPSmk,RareLU
5,535,SBPSmk,RareVariant
6,1,SBPSmk,RareVariant
3,13523,SBPSxc,RareVariant
3,2,SBPSxc,RareLU
4,278,SBPSxc,RareVariant
5,3,SBPSxc,RareVariant
3,17896,SBSdk,RareLU
4,3653,SBSdk,RareLU
5,380,SBSdk,RareLU
6,39,SBSdk,RareLU
7,26,SBSdk,RareLU
3,309,SBSdw1,RareLU
4,1,SBSdw1,RareVariant
4,1480,SBSdw1,RareLU
5,416,SBSdw1,RareLU
6,11,SBSdw1,RareLU
3,5,SBSdw2,RareVariant
3,1974,SBSdw2,RareLU
4,2,SBSdw2,RareVariant
4,5807,SBSdw2,RareLU
5,300,SBSdw2,RareLU
6,5,SBSdw2,RareLU
3,7833,SBSdw3,RareLU
4,2,SBSdw3,RareVariant
4,8119,SBSdw3,RareLU
5,1021,SBSdw3,RareLU
6,7,SBSdw3,RareLU
7,6,SBSdw3,RareLU
3,247,SBSmc1,RareLU
4,606,SBSmc1,RareLU
5,68,SBSmc1,RareLU
3,17,SBSmc2,RareVariant
3,17476,SBSmc2,RareLU
4,3,SBSmc2,RareVariant
4,2226,SBSmc2,RareLU
5,198,SBSmc2,RareLU
6,8,SBSmc2,RareLU
7,6,SBSmc2,RareLU
3,4793,SBSmc3,RareLU
4,190,SBSmc3,RareLU
5,24,SBSmc3,RareLU
6,3,SBSmc3,RareLU
3,1,SBSmh,RareLU
4,14,SBSmh,RareLU
5,14,SBSmh,RareLU
6,59,SBSmh,RareLU
3,2,SBSmk1,RareVariant
3,6744,SBSmk1,RareLU
4,4642,SBSmk1,RareLU
5,707,SBSmk1,RareLU
6,24,SBSmk1,RareLU
3,2,SBSmk2,RareVariant
3,312,SBSmk2,RareLU
4,514,SBSmk2,RareLU
5,75,SBSmk2,RareLU
6,2,SBSmk2,RareLU
3,105,SBSmm,RareLU
4,243,SBSmm,RareLU
5,8,SBSmm,RareLU
3,599,SBSmw,RareLU
4,1238,SBSmw,RareLU
5,1180,SBSmw,RareLU
6,159,SBSmw,RareLU
7,13,SBSmw,RareLU
3,9529,SBSvk,RareVariant
3,2,SBSvk,RareLU
4,1064,SBSvk,RareVariant
5,40,SBSvk,RareVariant
6,9,SBSvk,RareVariant
3,2087,SBSwk1,RareVariant
3,1,SBSwk1,RareLU
4,1069,SBSwk1,RareVariant
5,169,SBSwk1,RareVariant
6,14,SBSwk1,RareVariant
3,2668,SBSwk2,RareVariant
4,238,SBSwk2,RareVariant
5,28,SBSwk2,RareVariant
6,2,SBSwk2,RareVariant
7,2,SBSwk2,RareVariant
3,89,SBSwk3,RareLU
4,18,SBSwk3,RareLU
5,2,SBSwk3,RareLU
3,1887,SBSwk3a,RareVariant
4,577,SBSwk3a,RareVariant
5,28,SBSwk3a,RareVariant
3,1,SWBmk,RareLU
